inproceedings:ID;author:string[];author-aux:string[];author-orcid:string[];booktitle:string;cdrom:string[];cite:string[];cite-label:string[];crossref:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];key:string;mdate:date;month:string;note:string;note-type:string;number:string;pages:string;publtype:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string;url:string;volume:int;year:int
318015;Herman Geuvers|Niels van der Weide;;;MFPS;;;;conf/mfps/2019;;;https://doi.org/10.1016/j.entcs.2019.09.014;oa;;journals/entcs/WeideG19;2020-01-31;;;;;261-280;;;;The Construction of Set-Truncated Higher Inductive Types.;;;db/journals/entcs/entcs347.html#WeideG19;;2019
1601631;Fang Li 0010;;0000-0002-6401-284X;ICLP Technical Communications;;;;journals/corr/abs-2109-07914;;;https://arxiv.org/abs/2109.08681|https://doi.org/10.4204/EPTCS.345.44;oa|oa;;journals/corr/abs-2109-08681;2021-11-29;;;;;276-285;;;;Graph Based Answer Set Programming Solver Systems.;;;db/series/eptcs/eptcs345.html#abs-2109-08681;;2021
5883757;Hongbo Li|Yihong Wu 0002;;;Automated Deduction in Geometry;;;;conf/adg/2000;;;https://doi.org/10.1007/3-540-45410-1_13;;;conf/adg/LiW00;2017-05-25;;;;;199-227;;;;Automated Theorem Proving in Incidence Geometry - A Bracket Algebra Based Elimination Method.;;;db/conf/adg/adg2000.html#LiW00;;2000
5885822;Imen Grida Ben Yahia|Walid Gaaloul|Wassim Sellil Atoui;;;IM;;;;conf/im/2019;;;https://ieeexplore.ieee.org/document/8717894;;;conf/im/AtouiYG19;2021-08-10;;;;;515-520;;;;Virtual Network Function Descriptors Mining using Word Embeddings and Deep Neural Networks.;;;db/conf/im/im2019.html#AtouiYG19;;2019
5886504;Noriaki Kamiyama|Ryoichi Kawahara;;;IM;;;;conf/im/2013;;;https://ieeexplore.ieee.org/document/6573014/;;;conf/im/KamiyamaK13;2021-08-10;;;;;427-434;;;;Analysis of content charge by ISPs.;;;db/conf/im/im2013.html#KamiyamaK13;;2013
5888460;Philip C. Doyle|Soulaimane Berkane|Vijay Parsa|Yousef S. Ettomi Ali;;;PACRIM;;;;conf/pacrim/2017;;;https://doi.org/10.1109/PACRIM.2017.8121897;;;conf/pacrim/AliPDB17;2020-09-29;;;;;1-5;;;;Disordered speech quality estimation using linear prediction.;;;db/conf/pacrim/pacrim2017.html#AliPDB17;;2017
5893706;Gunther Notni|Katharina Anding|Konstantin Trambitckii|Lilli Haar;;;ICPRAM;;;;conf/icpram/2019;;;https://doi.org/10.5220/0007385305820589;;;conf/icpram/HaarATN19;2019-06-07;;;;;582-589;;;;Comparison between Supervised and Unsupervised Feature Selection Methods.;;;db/conf/icpram/icpram2019.html#HaarATN19;;2019
5895008;Carlos I. Jordán|Carlos J. Jordán;;;IWINAC (1);;;;conf/iwinac/2015-1;;;https://doi.org/10.1007/978-3-319-18914-7_5;;;conf/iwinac/JordanJ15;2017-05-19;;;;;39-46;;;;MBMEDA: An Application of Estimation of Distribution Algorithms to the Problem of Finding Biological Motifs.;;;db/conf/iwinac/iwinac2015-1.html#JordanJ15;;2015
5897554;Tong Ma|Xiaojie Ma|Ying Wei 0004;;;DSP;;;;conf/icdsp/2016;;;https://doi.org/10.1109/ICDSP.2016.7868535;;;conf/icdsp/MaWM16;2020-08-05;;;;;154-158;;;;A new method for designing farrow filters based on cosine basis neural network.;;;db/conf/icdsp/icdsp2016.html#MaWM16;;2016
5898352;Sridhar Krishnan 0001|Yunfeng Wu;;0000-0002-4659-564X;DPS;;;;conf/icdsp/2009;;;https://doi.org/10.1109/ICDSP.2009.5201156;;;conf/icdsp/Wu009;2021-02-19;;;;;1-6;;;;Classification of knee-joint vibroarthrographic signals using time-domain and time-frequency domain features and least-squares support vector machine.;;;db/conf/icdsp/icdsp2009.html#Wu009;;2009
5909445;Amy R. Reibman|Chen Bai;;;ICIP;;;;conf/icip/2018;;;https://doi.org/10.1109/ICIP.2018.8451321;;;conf/icip/BaiR18;2018-09-11;;;;;385-389;;;;Controllable Image Illumination Enhancement with an Over-Enhancement Measure.;;;db/conf/icip/icip2018.html#BaiR18;;2018
5914180;Clinton Fookes|David T. Martin|Soudeh Kasiri Bidhendi|Sridha Sridharan|Stuart Morgan;;0000-0002-8515-6324;ICIP;;;;conf/icip/2015;;;https://doi.org/10.1109/ICIP.2015.7351667;;;conf/icip/BidhendiFMMS15;2017-06-15;;;;;4545-4549;;;;Combat sports analytics: Boxing punch classification using overhead depthimagery.;;;db/conf/icip/icip2015.html#BidhendiFMMS15;;2015
5918583;Guido M. Schuster|Ikhlaq Sidhu|Michael S. Borella;;;ICIP (3);;;;conf/icip/1998;;;;;;conf/icip/SchusterSB98;2017-02-02;;;;;17-21;;;;Spatially Disjoint Source Channel Coding: Taking Advantage of the Current Dial-Up Architecture for Video over the Internet.;;;db/conf/icip/icip1998-3.html#SchusterSB98;;1998
5920944;Gilad Haran|Gilli Dardikman-Yoffe|Shirsendu Gosh|Yair Ben Sahel|Yonina C. Eldar;;;ICIP;;;;conf/icip/2021;;;https://doi.org/10.1109/ICIP42928.2021.9506695;;;conf/icip/SahelDEGH21;2022-02-03;;;;;3468-3472;;;;Super-Resolved Imaging of Early-Stage Dynamics in the Immune Response.;;;db/conf/icip/icip2021.html#SahelDEGH21;;2021
5922651;Alain Lalande|E. Desseree|François Brunotte|Louis Legrand|Paul Michael Walker;;;ICIP (2);;;;conf/icip/2001;;;https://doi.org/10.1109/ICIP.2001.958632;;;conf/icip/DessereeLWLB01;2017-05-25;;;;;869-872;;;;Cardiac motion tracking using a deformable 2D-mesh modeling.;;;db/conf/icip/icip2001-2.html#DessereeLWLB01;;2001
5924269;Arnaud Gelas|Basma Touil|Denis Friboulet|Olivier Bernard 0001|Rémy Prost;;0000-0003-0752-9946;ICIP (3);;;;conf/icip/2007;;;https://doi.org/10.1109/ICIP.2007.4379270;;;conf/icip/BernardTGPF07;2021-04-09;;;;;157-160;;;;A RBF-Based Multiphase Level Set Method for Segmentation in Echocardiography using the Statistics of the Radiofrequency Signal.;;;db/conf/icip/icip2007-3.html#BernardTGPF07;;2007
5931087;Chang-Hee Choi|Heung-Kyu Lee|Min-Jeong Lee;;;ICIP;;;;conf/icip/2010;;;https://doi.org/10.1109/ICIP.2010.5652108;;;conf/icip/ChoiLL10;2017-05-25;;;;;2121-2124;;;;Scanner identification using spectral noise in the frequency domain.;;;db/conf/icip/icip2010.html#ChoiLL10;;2010
5935047;María Cecilia Bastarrica|Yenisei Delgado;;;CIbSE;;;;conf/cibse/2019;;;;;;conf/cibse/DelgadoB19;2019-08-07;;;;;141-154;;;;Viewing an ERP as an SPL: Exploratory study.;;;db/conf/cibse/cibse2019.html#DelgadoB19;;2019
5936041;Ann T. Tai|Raymond A. Paul;;;HASE;;;;conf/hase/1999;;;http://doi.ieeecomputersociety.org/10.1109/HASE.1999.809482|https://doi.org/10.1109/HASE.1999.809482;;;conf/hase/PaulT99;2017-05-25;;;;;115;;;;Building High-Assurance Systems Using COTS Components: Whether, Why, When and How?;;;db/conf/hase/hase1999.html#PaulT99;;1999
5937282;A. J. Han Vinck|Anahit R. Ghazaryan|Vladimir B. Balakirsky;;;ICB;;;;conf/icb/2007;;;https://doi.org/10.1007/978-3-540-74549-5_34;oa;;conf/icb/BalakirskyGV07;2018-06-26;;;;;319-327;;;;An Algorithm for Biometric Authentication Based on the Model of Non-Stationary Random Processes.;;;db/conf/icb/icb2007.html#BalakirskyGV07;;2007
5940098;Artur Tomusiak|Kai Qian|Taixi Xu;;;Software Engineering Research and Practice;;;;conf/serp/2008;;;;;;conf/serp/TomusiakQX08;2009-02-09;;;;;634-638;;;;Dynamical Proxy for Dynamic Services.;;;db/conf/serp/serp2008.html#TomusiakQX08;;2008
5958016;Afra J. Mashhadi|Akhil Mathur|Fahim Kawsar;;;UbiComp Adjunct;;;;conf/huc/2014ap;;;https://doi.org/10.1145/2638728.2638759;;;conf/huc/MashhadiMK14;2018-11-06;;;;;111-114;;;;The myth of subtle notifications.;;;db/conf/huc/ubicomp2014ap.html#MashhadiMK14;;2014
5958612;Atsuhiko Maeda|Hitoshi Kawasaki|Masami Takahashi|Motonori Nakamura;;;UbiComp Adjunct;;;;conf/huc/2016ap;;;https://doi.org/10.1145/2968219.2968415;;;conf/huc/TakahashiKMN16;2018-11-06;;;;;1372-1380;;;;Mobile walking game and group-walking program to enhance going out for older adults.;;;db/conf/huc/ubicomp2016ap.html#TakahashiKMN16;;2016
5959999;Francis Schneider|Gerard J. Holzmann|John R. Callahan|Steve M. Easterbrook;;;ICRE;;;;conf/icre/1998;;;http://doi.ieeecomputersociety.org/10.1109/ICRE.1998.667803|https://doi.org/10.1109/ICRE.1998.667803;;;conf/icre/SchneiderECH98;2017-05-25;;;;;4-13;;;;Validating Requirements for Fault Tolerant Systems using Model Checking.;;;db/conf/icre/icre1998.html#SchneiderECH98;;1998
5962592;Ergun Biçici;;;SemEval@NAACL-HLT;;;;conf/semeval/2016;;;https://aclanthology.org/S16-1117/|https://doi.org/10.18653/v1/s16-1117;oa|oa;;conf/semeval/Bicici16;2021-08-06;;;;;;;;;RTM at SemEval-2016 Task 1: Predicting Semantic Similarity with Referential Translation Machines and Related Statistics.;;;db/conf/semeval/semeval2016.html#Bicici16;;2016
5965036;Lyla B. Das|Ramesh C. R.;;0000-0002-1210-6895;ICACCI;;;;conf/icacci/2015;;;https://doi.org/10.1109/ICACCI.2015.7275630;;;conf/icacci/RD15;2018-11-02;;;;;330-334;;;;Brain computer interface based assistive device.;;;db/conf/icacci/icacci2015.html#RD15;;2015
5965723;Amit Chhabra|Sandeep Sharma 0002|Shyna Sharma;;0000-0001-7049-207X|0000-0003-2056-6231;ICACCI;;;;conf/icacci/2015;;;https://doi.org/10.1109/ICACCI.2015.7275634;;;conf/icacci/SharmaCS15;2021-07-15;;;;;349-354;;;;Comparative analysis of scheduling algorithms for grid computing.;;;db/conf/icacci/icacci2015.html#SharmaCS15;;2015
5966913;Ajaz Hussain Mir|Ghulam Rasool Beigh|Suhail Ahmad;;0000-0001-9777-0850;IEEE ANTS;;;;conf/IEEEants/2011;;;https://doi.org/10.1109/ANTS.2011.6163654;;;conf/IEEEants/AhmadMB11;2020-10-25;;;;;1-5;;;;Latency evaluation of extensible authentication protocols in WLANs.;;;db/conf/IEEEants/IEEEants2011.html#AhmadMB11;;2011
5970488;Tero Ojanperä;;;PIMRC;;;;conf/pimrc/1998;;;https://doi.org/10.1109/PIMRC.1998.733592;;;conf/pimrc/Ojanpera98;2020-05-19;;;;;405-409;;;;Perspectives on 3G system development [mobile communications].;;;db/conf/pimrc/pimrc1998.html#Ojanpera98;;1998
5979848;Ana Vallés-Lluch|Concepcion Garcia-Pardo|Günter Vermeeren|Narcís Cardona|Reza Aminzadeh|Sergio Castelló-Palacios|Wout Joseph;;0000-0001-5697-1453|0000-0002-2774-980X|0000-0002-7896-8666|0000-0003-2309-6888|0000-0003-4689-652X;PIMRC;;;;conf/pimrc/2018;;;https://doi.org/10.1109/PIMRC.2018.8580752;;;conf/pimrc/Castello-Palacios18a;2021-10-14;;;;;1215-1219;;;;Elaboration of Simple Gel Phantoms for 5G/mm Wave Communications.;;;db/conf/pimrc/pimrc2018.html#Castello-Palacios18a;;2018
5981352;Graham Steel;;;VSTTE;;;;conf/vstte/2005;;;https://doi.org/10.1007/978-3-540-69149-5_53;oa;;conf/vstte/Steel05;2018-06-26;;;;;491-495;;;;The Importance of Non-theorems and Counterexamples in Program Verification.;;;db/conf/vstte/vstte2005.html#Steel05;;2005
5984237;Liangliang Liu|Quanrun Mou|Xiaolong Tong|Zhenghong Li;;;CSDM Asia / CSDM;;;;conf/csdm/2021;;;https://doi.org/10.1007/978-3-030-73539-5_39;;;conf/csdm/MouTLL21;2021-04-19;;;;;471;;;;Application of Model Based System Engineering in Hydraulic Energy System Design.;;;db/conf/csdm/csdm2021.html#MouTLL21;;2021
5991958;Antonio Puliafito|Francesco Longo 0001|Giovanni Merlino|Giuseppe Tricomi|Salvatore Distefano;;0000-0001-6299-140X|0000-0002-1469-7860;SMARTCOMP;;;;conf/smartcomp/2019;;;https://doi.org/10.1109/SMARTCOMP.2019.00050;;;conf/smartcomp/TricomiM0DP19;2021-10-14;;;;;180-185;;;;Software-Defined City Infrastructure: A Control Plane for Rewireable Smart Cities.;;;db/conf/smartcomp/smartcomp2019.html#TricomiM0DP19;;2019
5991977;Max Mintz|Ruzena Bajcsy;;;Block Island Workshop on Vision and Control;;;;conf/block/1997;;;https://doi.org/10.1007/bfb0109670;;;conf/block/BajcsyM97;2019-07-26;;;;;159-170;;;;The separation of photometry and geometry via active vision.;;;db/conf/block/block1997.html#BajcsyM97;;1997
5992502;Jae-Ho Kwak|Songlin Piao|Whoi-Yul Kim;;;MindTrek;;;;conf/mindtrek/2010;;;https://doi.org/10.1145/1930488.1930513;;;conf/mindtrek/KwakPK10;2018-11-06;;;;;123-126;;;;Development of the media art contents authoring tool using eclipse-based GMF technique.;;;db/conf/mindtrek/mindtrek2010.html#KwakPK10;;2010
5995138;Dong-Myung Seol|Emmanuel Henrich|Hee Yong Youn|K. H. (Kane) Kim|Kyung-Hee Lee|Liangchen Zheng|Moon-hae Kim|Stephen F. Jenks|Yuqing Li;;;ISORC;;;;conf/isorc/2005;;;http://doi.ieeecomputersociety.org/10.1109/ISORC.2005.2|https://doi.org/10.1109/ISORC.2005.2;;;conf/isorc/JenksKHLZKYLS05;2017-05-23;;;;;350-358;;;;A Linux-Based Implementation of a Middleware Model Supporting Time-Triggered Message-Triggered Objects.;;;db/conf/isorc/isorc2005.html#JenksKHLZKYLS05;;2005
5995522;Douglas C. Schmidt|Hunt Sutherland|James H. Hill|John M. Slaby|Nikita Visnevski|Paul Stodinger|Thomas Silveria;;;ISORC;;;;conf/isorc/2010;;;http://doi.ieeecomputersociety.org/10.1109/ISORC.2010.29|https://doi.org/10.1109/ISORC.2010.29;;;conf/isorc/HillSSSSSV10;2017-05-23;;;;;10-17;;;;OASIS: A Service-Oriented Architecture for Dynamic Instrumentation of Enterprise Distributed Real-Time and Embedded Systems.;;;db/conf/isorc/isorc2010.html#HillSSSSSV10;;2010
5997433;Herui Cui|Libing Fan;;;WISM (3);;;;conf/wism/2011-3;;;https://doi.org/10.1007/978-3-642-24273-1_19;;;conf/wism/CuiF11;2017-05-26;;;;;144-149;;;;Empirical Analysis on the Economy - Energy - Environment System of Hebei Province.;;;db/conf/wism/wism2011-3.html#CuiF11;;2011
5998451;Takafumi Kanazawa|Takurou Misaka|Toshimitsu Ushio|Yasuhiko Fukumoto;;;CCA/ISIC;;;;conf/IEEEcca/2009;;;https://doi.org/10.1109/CCA.2009.5281032;;;conf/IEEEcca/KanazawaMUF09;2017-05-23;;;;;249-254;;;;A control method of selfish routing based on replicator dynamics with capitation tax and subsidy.;;;db/conf/IEEEcca/IEEEcca2009.html#KanazawaMUF09;;2009
6008656;Hiromi Nakamura|Homei Miyashita;;0000-0002-3402-4057;AH;;;;conf/aughuman/2010;;;https://doi.org/10.1145/1785455.1785475;;;conf/aughuman/NakamuraM10;2019-10-19;;;;;20;;;;Control of augmented reality information volume by glabellar fader.;;;db/conf/aughuman/aughuman2010.html#NakamuraM10;;2010
6015768;Jean-Charles Lamirel|Marion Créhange;;;CIKM;CIKM1994/P155.pdf;;;conf/cikm/94;;;https://doi.org/10.1145/191246.191272;;;conf/cikm/LamirelC94;2018-11-06;;;;;155-163;;;;Application of a Symbolico-Connectionist Approach for the Design of a Highly Interactive Documentary Database Interrogation System with On-Line Learning Capabilities.;;;db/conf/cikm/cikm94.html#LamirelC94;;1994
6023535;Christian Hammer 0001|Erik Derr|Michael Backes 0001|Sebastian Gerling|Sven Bugiel;;0000-0001-5955-3732|0000-0001-6047-3481;AsiaCCS;;;;conf/ccs/2016asia;;;https://doi.org/10.1145/2897845.2897927;;;conf/ccs/0001BDG016;2021-10-14;;;;;129-140;;;;R-Droid: Leveraging Android App Analysis with Static Slice Optimization.;;;db/conf/ccs/asiaccs2016.html#0001BDG016;;2016
6024938;Aditya P. Mathur|Carlos Murguia|Chuadhry Mujeeb Ahmed|Jianying Zhou 0001|Justin Ruths|Martín Ochoa|Rizwan Qadeer;;0000-0002-8887-1390|0000-0003-0594-0432;AsiaCCS;;;;conf/ccs/2018asia;;;https://doi.org/10.1145/3196494.3196532;;NoisePrint;conf/ccs/AhmedOZMQMR18;2021-04-09;;;;;483-497;;;;;;;db/conf/ccs/asiaccs2018.html#AhmedOZMQMR18;;2018
6028626;Alexander V. Smirnov 0001|Kurt Sandkuhl|Nikolay Shilov 0001;;;BIR Workshops;;;;conf/bir/2011w;;;https://doi.org/10.1007/978-3-642-29231-6_2;;;conf/bir/SandkuhlSS11;2022-01-12;;;;;14-25;;;;Information Logistics in Engineering Change Management: Integrating Demand Patterns and Recommendation Systems.;;;db/conf/bir/bir2011w.html#SandkuhlSS11;;2011
6031093;Albert Rubio|Elvira Albert|Miguel Gómez-Zamalloa|Miguel Isabel;;0000-0002-0501-9830|0000-0002-5474-9258|0000-0003-0048-0705|0000-0003-1557-689X;CAV (2);;;;conf/cav/2018-2;;;https://doi.org/10.1007/978-3-319-96142-2_24;oa;;conf/cav/AlbertGIR18;2018-10-03;;;;;392-410;;;;Constrained Dynamic Partial Order Reduction.;;;db/conf/cav/cav2018-2.html#AlbertGIR18;;2018
6031954;Hardi Hungar;;;CAV;;;;conf/cav/1994;;;https://doi.org/10.1007/3-540-58179-0_52;;;conf/cav/Hungar94;2017-05-20;;;;;169-181;;;;Model Checking of macro Processes.;;;db/conf/cav/cav94.html#Hungar94;;1994
6032095;Armen Gabrielian|R. Iyer;;;CAV;;;;conf/cav/1991;;;https://doi.org/10.1007/3-540-55179-4_39;;;conf/cav/GabrielianI91;2017-05-20;;;;;421-431;;;;Verifying Properties of HMS Machine Specifications of Real-Time Systems.;;;db/conf/cav/cav91.html#GabrielianI91;;1991
6032413;Kenneth L. McMillan|Oded Padon;;;CAV (2);;;;conf/cav/2020-2;;;https://doi.org/10.1007/978-3-030-53291-8_12;oa;;conf/cav/McMillanP20;2020-08-12;;;;;190-202;;;;Ivy: A Multi-modal Verification Tool for Distributed Algorithms.;;;db/conf/cav/cav2020-2.html#McMillanP20;;2020
6040755;Benjamin Zi Hao Zhao|Hassan Jameel Asghar|Jagmohan Chauhan|Jonathan Chan|Mohamed Ali Kâafar;;0000-0001-6168-6497|0000-0003-2714-0276;Financial Cryptography;;;;conf/fc/2017;;;https://doi.org/10.1007/978-3-319-70972-7_3;;;conf/fc/ChauhanZACK17;2018-11-02;;;;;39-58;;;;BehavioCog: An Observation Resistant Authentication Scheme.;;;db/conf/fc/fc2017.html#ChauhanZACK17;;2017
6046702;Loes Crielaard|Panagiotis Papapetrou;;;ICDM Workshops;;;;conf/icdm/2018w;;;https://doi.org/10.1109/ICDMW.2018.00108|https://www.wikidata.org/entity/Q102630779;;;conf/icdm/CrielaardP18;2020-12-25;;;;;707-714;;;;Explainable Predictions of Adverse Drug Events from Electronic Health Records Via Oracle Coaching.;;;db/conf/icdm/icdm2018w.html#CrielaardP18;;2018
6047171;Jianguo Xiao|Xiaojun Wan 0001|Xinjie Zhou;;;ICDM;;;;conf/icdm/2012;;;http://doi.ieeecomputersociety.org/10.1109/ICDM.2012.32|https://doi.org/10.1109/ICDM.2012.32;;;conf/icdm/ZhouWX12;2017-09-17;;;;;1200-1205;;;;Cross-Language Opinion Target Extraction in Review Texts.;;;db/conf/icdm/icdm2012.html#ZhouWX12;;2012
6050146;Hang Zhang|Jonathan R. Wells|Kai Ming Ting|Takashi Washio;;;ICDM;;;;conf/icdm/2021;;;https://doi.org/10.1109/ICDM51629.2021.00073;;;conf/icdm/TingWWZ21;2022-01-31;;;;;619-628;;;;Isolation Kernel Density Estimation.;;;db/conf/icdm/icdm2021.html#TingWWZ21;;2021
6056202;Lothar Thiele|Reinhard Wilhelm;;;Design of Systems with Predictable Behaviour;;;;conf/dagstuhl/2004P3471;;;http://drops.dagstuhl.de/opus/volltexte/2004/2;oa;;conf/dagstuhl/ThieleW04a;2018-08-23;;;;;;informal;;;Design for Time-Predictability.;;;db/conf/dagstuhl/P3471.html#ThieleW04a;;2004
6058567;Antonio Vallecillo;;;Perspectives Workshop: Model Engineering of Complex Systems (MECS);;;;conf/dagstuhl/2008P8331;;;http://drops.dagstuhl.de/opus/volltexte/2008/1601/;oa;;conf/dagstuhl/Vallecillo08;2018-08-23;;;;;;informal;;;A Journey through the Secret Life of Models.;;;db/conf/dagstuhl/P8331.html#Vallecillo08;;2008
6059057;Dongxia Wang 0001|Jingzhe Zhang|Liang Ming|Xuewei Feng;;;DSC;;;;conf/dsc/2018;;;http://doi.ieeecomputersociety.org/10.1109/DSC.2018.00102|https://doi.org/10.1109/DSC.2018.00102;;;conf/dsc/ZhangFWM18;2021-12-17;;;;;640-645;;;;Web Service Applying Moving Target Defense.;;;db/conf/dsc/dsc2018.html#ZhangFWM18;;2018
6059744;Gerald Chouinard;;;CNSR;;;;conf/cnsr/2010;;;http://doi.ieeecomputersociety.org/10.1109/CNSR.2010.34|https://doi.org/10.1109/CNSR.2010.34;;;conf/cnsr/Chouinard10;2017-05-21;;;;;8-14;;;;RF Sensing in the TV White Space.;;;db/conf/cnsr/cnsr2010.html#Chouinard10;;2010
6066107;Jacob J. Waarts|Nico Boneschanscher|Willem F. Bronsvoort;;;ICRA;;;;conf/icra/1992;;;http://doi.ieeecomputersociety.org/10.1109/ROBOT.1992.220100|https://doi.org/10.1109/ROBOT.1992.220100;;;conf/icra/WaartsBB92;2019-02-14;;;;;2431-2438;;;;A semi-automatic assembly sequence planner.;;;db/conf/icra/icra1992.html#WaartsBB92;;1992
6066592;Daiki Nishida|Kazuo Takai|Kumiko Tsuzura|Norihiro Asada|Shunsuke Kudoh|Takashi Suehiro|Tatsuhiro Momodori|Tetsuo Tomizawa|Toshihiro Mori;;;ICRA;;;;conf/icra/2014;;;https://doi.org/10.1109/ICRA.2014.6907799;;;conf/icra/NishidaTKTMAMST14;2017-05-22;;;;;6368-6374;;;;Development of Intelligent Automatic Door System.;;;db/conf/icra/icra2014.html#NishidaTKTMAMST14;;2014
6066885;Angelo Bratta|Claudio Semini|Giovanni Gerardo Muscolo|Michele Focchi|Romeo Orsolino|Victor Barasuol;;0000-0002-1306-9344;ICRA;;;;conf/icra/2020;;;https://doi.org/10.1109/ICRA40945.2020.9196903;;;conf/icra/BrattaOFBMS20;2021-10-14;;;;;1417-1423;;;;On the Hardware Feasibility of Nonlinear Trajectory Optimization for Legged Locomotion based on a Simplified Dynamics.;;;db/conf/icra/icra2020.html#BrattaOFBMS20;;2020
6076411;Daniel J. Stilwell;;;ICRA;;;;conf/icra/2002;;;https://doi.org/10.1109/ROBOT.2002.1013447;;;conf/icra/Stilwell02;2017-05-22;;;;;744-749;;;;Decentralized Control Synthesis for a Platoon of Autonomous Vehicles.;;;db/conf/icra/icra2002.html#Stilwell02;;2002
6076554;Francisco Angel Moreno|Javier González Jiménez|José-Luis Blanco;;0000-0002-9745-285X;ICRA;;;;conf/icra/2013;;;https://doi.org/10.1109/ICRA.2013.6631245;;;conf/icra/MorenoBJ13;2017-12-30;;;;;4691-4697;;;;ERODE: An efficient and robust outlier detector and its application to stereovisual odometry.;;;db/conf/icra/icra2013.html#MorenoBJ13;;2013
6078633;Gennaro Notomista|Magnus Egerstedt|Maria Santos 0003|Seth Hutchinson 0001;;;ICRA;;;;conf/icra/2019;;;https://doi.org/10.1109/ICRA.2019.8794261;;;conf/icra/Notomista0HE19;2021-04-01;;;;;3252-3258;;;;Sensor Coverage Control Using Robots Constrained to a Curve.;;;db/conf/icra/icra2019.html#Notomista0HE19;;2019
6079293;Doug J. Cook|Nikolaos Papanikolopoulos|Ted Morris|Vassilios Morellas;;;ICRA;;;;conf/icra/2014;;;https://doi.org/10.1109/ICRA.2014.6907438;;;conf/icra/CookMMP14;2017-05-22;;;;;3989-3994;;;;An automated system for persistent real-time truck parking detection and information dissemination.;;;db/conf/icra/icra2014.html#CookMMP14;;2014
6079800;P. J. Hacksel|Septimiu E. Salcudean;;;ICRA;;;;conf/icra/1994;;;https://doi.org/10.1109/ROBOT.1994.351233;;;conf/icra/HackselS94;2021-02-18;;;;;931-936;;;;Estimation of Environment Forces and Rigid-Body Velocities Using Observers.;;;db/conf/icra/icra1994-2.html#HackselS94;;1994
6088315;Hsing-Hsien Wu|Jiann-Shu Lee|Ming-Zheng Yuan;;;IAS;;;;conf/IEEEias/2009;;;http://doi.ieeecomputersociety.org/10.1109/IAS.2009.353|https://doi.org/10.1109/IAS.2009.353;;;conf/IEEEias/LeeWY09;2017-05-17;;;;;383-386;;;;Lung Segmentation for Chest Radiograph by Using Adaptive Active Shape Models.;;;db/conf/IEEEias/IEEEias2009.html#LeeWY09;;2009
6089508;Joseph L. Mundy;;;Toward Category-Level Object Recognition;;;;conf/clor/2006;;;https://doi.org/10.1007/11957959_1;;;conf/clor/Mundy06;2017-05-21;;;;;3-28;;;;Object Recognition in the Geometric Era: A Retrospective.;;;db/conf/clor/clor2006.html#Mundy06;;2006
6093962;Clément Zinoune|Franck Li|Javier Ibañez-Guzmán|Philippe Bonnifait;;;Intelligent Vehicles Symposium;;;;conf/ivs/2017;;;https://doi.org/10.1109/IVS.2017.7995872;;;conf/ivs/LiBGZ17;2020-07-24;;;;;1176-1181;;;;Lane-level map-matching with integrity on high-definition maps.;;;db/conf/ivs/ivs2017.html#LiBGZ17;;2017
6093969;Antonio M. López 0001|Daniel Ponsa|Diego Cheda;;;Intelligent Vehicles Symposium;;;;conf/ivs/2012;;;https://doi.org/10.1109/IVS.2012.6232117;;;conf/ivs/ChedaPL12;2019-11-05;;;;;7-12;;;;Pedestrian candidates generation using monocular cues.;;;db/conf/ivs/ivs2012.html#ChedaPL12;;2012
6095635;Chawanat Nakasan|Che Huang|Hajimu Iida|Kohei Ichikawa;;0000-0003-0094-3984;e-Science;;;;conf/eScience/2015;;;http://doi.ieeecomputersociety.org/10.1109/eScience.2015.37|https://doi.org/10.1109/eScience.2015.37;;;conf/eScience/HuangNII15;2021-04-09;;;;;439-447;;;;A Multipath Controller for Accelerating GridFTP Transfer over SDN.;;;db/conf/eScience/eScience2015.html#HuangNII15;;2015
6098077;Amalie Steen Selvik|Jardar Lohne|Maren Mikaelsen Edvardsen|Ola Lædre;;;CENTERIS/ProjMAN/HCist;;;;conf/centeris/2021;;;https://doi.org/10.1016/j.procs.2021.12.090;;;conf/centeris/SelvikELL21;2022-03-04;;;;;894-901;;;;Opportunity Space for Work-related Crime from Procurement to Production.;;;db/conf/centeris/centeris2021.html#SelvikELL21;;2021
6099838;Mahbubur Rahman|Nilanjan Banerjee|Ryan W. Robucci|Zheng Li;;;BuildSys@SenSys;;;;conf/sensys/2016buildsys;;;https://doi.org/10.1145/2993422.2996417;;;conf/sensys/LiRRB16;2020-07-07;;;;;257-258;;;;LastStep: Vision-based Bus Stop Localization and Mapping for Improving Accessibility for Blind Riders: Poster Abstract.;;;db/conf/sensys/buildsys2016.html#LiRRB16;;2016
6105623;Ahmed E. Fetit|Daniel Rueckert|Seoin Chai;;;MIUA;;;;conf/miua/2021;;;https://doi.org/10.1007/978-3-030-80432-9_23;;;conf/miua/ChaiRF21;2021-07-12;;;;;294-304;;;;Reducing Textural Bias Improves Robustness of Deep Segmentation Models.;;;db/conf/miua/miua2021.html#ChaiRF21;;2021
